,city,month,temperature_2m_mean_max,temperature_2m_mean_mean,temperature_2m_mean_min,temperature_2m_mean_std,precipitation_sum_max,precipitation_sum_mean,precipitation_sum_min,precipitation_sum_std,wind_speed_10m_max_max,wind_speed_10m_max_mean,wind_speed_10m_max_min,wind_speed_10m_max_std
25,London,2012-02-01,11.3,3.686206896551724,-2.6,4.403466502811088,5.7,0.6241379310344828,0.0,1.3219723285448994,37.2,18.78965517241379,5.5,6.861660816636275
26,London,2012-03-01,11.0,7.929032258064516,4.9,1.7235996341739952,13.0,0.7806451612903226,0.0,2.5929930395637015,35.3,15.845161290322581,7.2,7.106609069951595
27,London,2012-04-01,12.2,7.759999999999999,5.1,1.5455386294662496,17.4,3.6,0.0,4.54729931217231,35.8,21.869999999999997,8.0,8.327194750562347
28,London,2012-05-01,18.7,12.651612903225805,6.8,3.8990486846359445,19.6,2.403225806451613,0.0,4.446383089730929,31.3,19.10967741935484,11.2,4.629280350026318
29,London,2012-06-01,19.8,14.32,10.6,2.132733392653177,32.9,4.42,0.0,6.516313745330728,39.2,23.62666666666667,9.0,8.023711985296362
30,London,2012-07-01,21.1,16.07741935483871,13.5,1.8911565557297396,25.5,3.4064516129032256,0.0,5.17718942309248,32.4,18.025806451612905,7.7,5.539312095795258
31,London,2012-08-01,22.7,17.44516129032258,12.5,2.168999571181365,6.5,1.7451612903225806,0.0,2.200884475186801,28.7,18.948387096774194,6.2,5.252546745325352
32,London,2012-09-01,17.7,13.82333333333333,10.7,2.1732993086681525,25.5,1.4300000000000002,0.0,4.8485440402604185,32.3,19.266666666666666,8.7,5.65906860457305
33,London,2012-10-01,14.0,10.529032258064513,4.4,2.5121297137936036,12.4,2.670967741935484,0.0,3.225026464840983,37.6,20.61935483870968,9.7,7.4069975633333245
34,London,2012-11-01,11.6,6.916666666666667,-0.2,2.586847813303945,13.6,3.043333333333334,0.0,4.325679801733646,43.2,21.916666666666664,6.8,8.887305294761672
35,London,2012-12-01,10.9,5.077419354838709,-1.2,3.565642501936068,14.3,2.7677419354838713,0.0,4.182613783809848,40.0,24.33225806451613,9.0,8.045014485040792
36,London,2013-01-01,10.9,3.6612903225806455,-2.3,4.346084630204896,5.0,1.4483870967741934,0.0,1.8547005091104665,40.4,20.26451612903226,8.6,8.523792128980181
37,London,2013-02-01,7.8,2.725,0.2,1.9130400472081661,12.3,1.2464285714285714,0.0,2.7781531492405027,31.9,20.835714285714285,6.9,5.983385285179241
38,London,2013-03-01,8.5,2.9193548387096775,-0.2,2.4822596365460656,8.7,1.8612903225806452,0.0,2.9314021013108884,36.8,20.032258064516128,8.2,7.6484153956565475
39,London,2013-04-01,14.2,7.496666666666667,1.8,3.70493457835426,8.1,1.3466666666666667,0.0,2.2596510767164357,41.4,22.94,11.9,6.301483131388389
40,London,2013-05-01,14.6,10.919354838709678,7.1,1.8410901398969597,11.6,1.7483870967741935,0.0,3.1092197271707827,41.6,20.629032258064523,7.6,7.915815121151963
41,London,2013-06-01,19.0,14.406666666666665,11.9,1.8958999925125783,3.0,0.66,0.0,0.8684508601825001,36.0,20.363333333333333,8.7,6.696086522189186
